Course Code,Course Title,Department
MAT119,Materials Lab,Mechanical Engineering
MAT116,Mathematics I,Mechanical Engineering
MAT118,Mathematics II,Mechanical Engineering
WSH106,Mechanical Workshop,Mechanical Engineering
MEC101,Mechatronics,Mechanical Engineering
PHY109,Physics,Mechanical Engineering
PHY110,Physics Lab,Mechanical Engineering
PRO110,Production Planning,Mechanical Engineering
PRE105,Professional Ethics,Mechanical Engineering
PRO111,Project,Mechanical Engineering
PRO112,Project Lab,Mechanical Engineering
PRM103,Project Management,Mechanical Engineering
RFR101,Refrigeration,Mechanical Engineering
REE103,Renewable Energy,Mechanical Engineering
RES102,Research Project,Mechanical Engineering
ROB101,Robotics,Mechanical Engineering
ROB102,Robotics Lab,Mechanical Engineering
SEM104,Seminar,Mechanical Engineering
STR103,Strength of Materials,Mechanical Engineering
SUE102,Sustainable Engineering,Mechanical Engineering
THE102,Thermal Engineering,Mechanical Engineering
THE103,Thermal Lab,Mechanical Engineering
THD101,Thermodynamics,Mechanical Engineering
THD102,Thermodynamics Lab,Mechanical Engineering
VIB101,Vibration Analysis,Mechanical Engineering
VIB102,Vibration Lab,Mechanical Engineering
WSH105,Workshop Technology,Mechanical Engineering
